name,trainer,IH_W1,IS_W1,PV_W1,PS_W1,SD_W1,SA_W1,IH_W2,IS_W2,PV_W2,PS_W2,SD_W2,SA_W2,IH_W3,IS_W3,PV_W3,PS_W3,SD_W3,SA_W3,IH_W4,IS_W4,PV_W4,PS_W4,SD_W4,SA_W4,IH_W5,IS_W5,PV_W5,PS_W5,SD_W5,SA_W5,IH_W6,IS_W6,PV_W6,PS_W6,SD_W6,SA_W6,IH_W7,IS_W7,PV_W7,PS_W7,SD_W7,SA_W7,IH_W8,IS_W8,PV_W8,PS_W8,SD_W8,SA_W8,IH_W9,IS_W9,PV_W9,PS_W9,SD_W9,SA_W9,IH_W10,IS_W10,PV_W10,PS_W10,SD_W10,SA_W10
Jill Pawelec,Gina Cartwright,4,1,5,2,1,4,4,1,2,4,3,1,2,2,5,2,2,1,6,6,6,4,6,4,8,3,3,5,8,5,5,4,3,3,8,6,8,8,8,6,8,8,8,6,7,8,7,8,7,8,8,2,8,8,8,7,8,8,8,8
Marcy Rout,Gina Cartwright,4,7,1,5,3,1,3,2,5,4,8,3,3,2,3,1,5,5,6,4,3,1,6,6,7,6,7,7,4,5,6,8,6,7,2,1,8,8,6,8,8,7,8,8,8,7,8,8,8,5,6,8,8,8,8,8,8,8,8,8
Adelbert Verrick,Gina Cartwright,6,3,3,1,3,3,4,2,1,2,4,4,5,2,1,3,3,3,8,7,6,5,5,3,8,6,8,5,8,6,8,5,3,8,4,3,5,8,3,5,8,8,8,8,8,8,8,8,7,8,6,8,8,8,8,8,8,8,8,7
Cordey Rigardeau,Gina Cartwright,4,3,2,1,4,2,3,2,1,2,3,2,2,5,3,2,5,4,8,5,8,6,8,1,7,8,2,8,8,4,4,8,2,3,4,7,8,8,8,8,8,8,8,8,6,7,8,8,6,8,7,3,8,8,8,8,8,8,8,8
Leonhard Filkin,Gina Cartwright,2,6,3,7,4,3,1,4,2,5,2,3,1,4,1,5,1,3,4,5,4,4,4,5,4,8,5,2,4,8,1,5,7,2,7,8,7,5,8,7,5,8,3,8,8,8,7,8,7,8,8,7,8,8,6,8,8,8,8,8
Benedick Bernardeau,Gina Cartwright,5,4,5,2,1,1,4,1,3,5,1,2,2,1,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cami Burberow,Gina Cartwright,2,1,3,4,4,5,2,2,6,6,5,2,1,4,1,2,2,7,3,3,4,4,8,6,8,6,6,4,6,5,6,5,3,4,6,4,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,5,7,8,8,5,8,7,8,8
Sergei Kenrick,Gina Cartwright,3,6,2,2,2,4,4,2,2,3,2,1,4,2,4,5,1,6,6,8,6,8,8,1,6,2,7,5,5,6,8,4,8,4,7,3,6,8,3,8,8,8,7,8,5,8,8,8,8,8,6,8,8,8,7,6,8,8,8,8
Charlotte Possa,Gina Cartwright,3,3,1,3,1,1,2,1,1,8,5,4,1,1,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowney Von Hagt,Gina Cartwright,1,3,5,4,1,3,4,1,5,1,1,1,3,3,1,2,6,5,6,7,4,8,7,6,8,5,6,5,5,7,6,5,7,8,8,8,8,8,6,8,8,6,8,8,8,8,8,7,5,7,6,8,8,7,8,8,8,8,8,8
Rhona Bisgrove,Gina Cartwright,6,2,3,6,7,1,5,2,2,1,1,3,4,3,1,1,1,5,6,4,8,7,5,6,2,5,5,6,7,8,4,8,8,4,6,8,8,8,8,8,8,6,8,7,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8
