Tuesday 2 July 2019
London Academy

Christian Clowley -  Psychometrics: 63/100, Presentation: 16/32
Andriana Uc -  Psychometrics: 49/100, Presentation: 17/32
Isacco Teese -  Psychometrics: 56/100, Presentation: 22/32
Mathilde Keppin -  Psychometrics: 58/100, Presentation: 12/32
Kitty Allen -  Psychometrics: 58/100, Presentation: 22/32
Albina Alves -  Psychometrics: 60/100, Presentation: 18/32
Shanie Deniso -  Psychometrics: 60/100, Presentation: 14/32
Chevy Pyburn -  Psychometrics: 54/100, Presentation: 24/32
Larisa Warrington -  Psychometrics: 59/100, Presentation: 22/32
Demetrius Dunbavin -  Psychometrics: 62/100, Presentation: 19/32
Arty Indruch -  Psychometrics: 61/100, Presentation: 15/32
Darcy Dowbakin -  Psychometrics: 68/100, Presentation: 24/32
Eba Gary -  Psychometrics: 67/100, Presentation: 24/32
D'ARCY BOVER -  Psychometrics: 59/100, Presentation: 13/32
Abraham Rockell -  Psychometrics: 63/100, Presentation: 24/32
Chev Spillane -  Psychometrics: 58/100, Presentation: 25/32
Beauregard Cornehl -  Psychometrics: 64/100, Presentation: 29/32
Duky Shailer -  Psychometrics: 72/100, Presentation: 18/32
Waverley Deacock -  Psychometrics: 56/100, Presentation: 15/32
Sorcha Argue -  Psychometrics: 55/100, Presentation: 23/32
Frankie Boseley -  Psychometrics: 49/100, Presentation: 20/32
Marlow Turbitt -  Psychometrics: 61/100, Presentation: 22/32
Matt Roocroft -  Psychometrics: 59/100, Presentation: 18/32
Honor Huntall -  Psychometrics: 57/100, Presentation: 17/32
Yankee Northing -  Psychometrics: 73/100, Presentation: 18/32
Germaine Kitchenside -  Psychometrics: 60/100, Presentation: 19/32
Berti Nayer -  Psychometrics: 61/100, Presentation: 15/32
Gilbertine Olivetti -  Psychometrics: 59/100, Presentation: 19/32
Drusy Benny -  Psychometrics: 59/100, Presentation: 21/32
Ara Loggie -  Psychometrics: 57/100, Presentation: 21/32
Ketti Murrigans -  Psychometrics: 39/100, Presentation: 17/32
Sherlocke Baselio -  Psychometrics: 64/100, Presentation: 23/32
Amalea Ughi -  Psychometrics: 62/100, Presentation: 25/32
Julia Taile -  Psychometrics: 55/100, Presentation: 24/32
Ardis Staniland -  Psychometrics: 51/100, Presentation: 19/32
Claude Duran -  Psychometrics: 62/100, Presentation: 17/32
Andree Romeo -  Psychometrics: 48/100, Presentation: 19/32
Ennis Breinl -  Psychometrics: 51/100, Presentation: 23/32
Tonnie Brigshaw -  Psychometrics: 59/100, Presentation: 25/32
